
Param size = 182.449 MB
Start training !
========> pt_273:  11.110674440860748
========> pt_274:  6.973135024309158
========> pt_275:  5.989152640104294
========> pt_276:  9.685737788677216
========> pt_277:  10.627014338970184
========> pt_278:  7.463158443570137
========> pt_279:  5.514652356505394
========> pt_280:  5.502273067831993
========> pt_281:  9.777813702821732
========> pt_282:  11.172811836004257
========> pt_283:  10.712618976831436
========> pt_284:  7.232961878180504
========> pt_285:  8.30915629863739
========> pt_286:  10.799984335899353
========> pt_287:  6.583882123231888
========> pt_288:  10.231584310531616
========> pt_289:  6.293843984603882
========> pt_290:  6.413370668888092
========> pt_291:  10.519893020391464
========> pt_292:  7.348160818219185
========> pt_293:  10.429704040288925
========> pt_294:  9.82720673084259
========> pt_295:  6.121066436171532
========> pt_296:  9.896008372306824
========> pt_297:  6.336981654167175
========> pt_298:  7.339040637016296
========> pt_299:  10.035013556480408
========> pt_300:  5.9845662117004395
========> pt_301:  5.238298401236534
========> pt_302:  7.156935855746269
========> pt_303:  9.243287742137909
========> pt_304:  10.675989091396332
========> pt_305:  7.2738903015851974
========> pt_306:  10.464860051870346
========> pt_307:  10.452492237091064
========> pt_308:  7.582540139555931
========> pt_309:  9.876047968864441
========> pt_310:  5.9374841302633286
========> pt_311:  10.07572814822197
========> pt_312:  10.72987675666809
========> pt_313:  9.57275539636612
========> pt_314:  10.936877280473709
========> pt_315:  10.377248525619507
========> pt_316:  6.706512495875359
========> pt_317:  5.69704607129097
========> pt_318:  8.12518909573555
========> pt_319:  10.341142266988754
========> pt_320:  9.791286140680313
========> pt_321:  6.298646852374077
========> pt_322:  10.82920417189598
========> pt_323:  9.859184473752975
========> pt_324:  10.516945272684097
========> pt_325:  7.640685141086578
========> pt_326:  11.332562863826752
========> pt_327:  10.270941853523254
========> pt_328:  9.619604349136353
========> pt_329:  8.195984587073326
========> pt_330:  11.01782038807869
========> pt_331:  7.95505054295063
========> pt_332:  10.394127666950226
========> pt_333:  9.449098110198975
========> pt_334:  9.46942463517189
========> pt_335:  7.5389643758535385
========> pt_336:  6.745006889104843
========> pt_337:  10.902685075998306
========> pt_338:  10.911269634962082
========> pt_339:  10.542596727609634
========> pt_340:  5.4403286427259445
===============================================> mean Dose score: 8.632871025800705
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.135971775874,     best is           0.135971775874
            Average val evaluation index is   -8.632871025801,     best is           -8.632871025801
    Train use time   1533.76384
    Train loader use time     72.57641
    Val use time     43.77533
    Total use time   1582.16620
    End lr is 0.000299537754, 0.000299537754
    time: 17:45:25
Epoch: 4, iter: 1999
    Begin lr is 0.000299537754, 0.000299537754
========> pt_241:  6.6063714772462845
========> pt_242:  9.500686824321747
========> pt_243:  6.6208963841199875
========> pt_244:  9.313315004110336
========> pt_245:  7.984122782945633
========> pt_246:  6.976459845900536
========> pt_247:  9.68817338347435
========> pt_248:  7.501209527254105
========> pt_249:  5.797403529286385
========> pt_250:  9.279260486364365
========> pt_251:  6.716156303882599
========> pt_252:  6.5269580483436584
========> pt_253:  6.604821979999542
========> pt_254:  5.940523147583008
========> pt_255:  6.7962696403265
========> pt_256:  9.590259343385696
========> pt_257:  6.731759756803513
========> pt_258:  7.793556526303291
========> pt_259:  7.370080128312111
========> pt_260:  11.095208674669266
========> pt_261:  6.336200907826424
========> pt_262:  7.5932327657938
========> pt_263:  9.506384134292603
========> pt_264:  8.166764229536057
========> pt_265:  9.283907413482666
========> pt_266:  8.06367389857769
========> pt_267:  9.854258000850677
========> pt_268:  6.290569230914116
========> pt_269:  8.955737352371216
========> pt_270:  7.485330179333687
========> pt_271:  7.584357187151909
========> pt_272:  5.6850433349609375
========> pt_273:  10.261165052652359
========> pt_274:  6.767225563526154
========> pt_275:  5.254734754562378
========> pt_276:  9.012228548526764
========> pt_277:  9.58421990275383
========> pt_278:  6.967751160264015
========> pt_279:  5.81742599606514
========> pt_280:  5.8497098833322525
========> pt_281:  9.070293754339218
========> pt_282:  9.939026087522507
========> pt_283:  10.479938834905624
========> pt_284:  6.401372104883194
========> pt_285:  7.994714751839638
========> pt_286:  9.553892314434052
========> pt_287:  6.272109299898148
========> pt_288:  9.226229190826416
========> pt_289:  6.188471391797066
========> pt_290:  5.941125005483627
========> pt_291:  9.680060297250748
========> pt_292:  6.7786650359630585
========> pt_293:  9.267963916063309
========> pt_294:  8.928821682929993
========> pt_295:  5.897690057754517
========> pt_296:  9.008175134658813
========> pt_297:  6.694296970963478
========> pt_298:  6.640437990427017
========> pt_299:  8.95856723189354
========> pt_300:  6.331729218363762
========> pt_301:  5.14423593878746
========> pt_302:  7.494410201907158
========> pt_303:  8.258155882358551
========> pt_304:  9.574957340955734
========> pt_305:  6.8212879449129105
========> pt_306:  9.417753517627716
========> pt_307:  9.397568851709366
========> pt_308:  7.1432167291641235
========> pt_309:  8.619409874081612
========> pt_310:  5.462219268083572
========> pt_311:  9.307762682437897
========> pt_312:  9.625687599182129
========> pt_313:  9.133866429328918
========> pt_314:  9.949334859848022
========> pt_315:  9.395478516817093
========> pt_316:  6.014177203178406
========> pt_317:  5.435003191232681
========> pt_318:  7.9299018532037735
========> pt_319:  9.373295307159424
========> pt_320:  9.20839250087738
========> pt_321:  5.720913335680962
========> pt_322:  9.468798786401749
========> pt_323:  9.58031877875328
========> pt_324:  9.651938825845718
========> pt_325:  7.202478870749474
========> pt_326:  10.415796637535095
========> pt_327:  9.094880223274231
========> pt_328:  9.40448135137558
========> pt_329:  7.366414740681648
========> pt_330:  10.83497241139412
========> pt_331:  7.179018929600716
========> pt_332:  9.162863045930862
========> pt_333:  8.791832774877548
========> pt_334:  8.578214943408966
========> pt_335:  6.835691332817078
========> pt_336:  6.064147055149078
========> pt_337:  10.335879921913147
========> pt_338:  9.738976657390594
========> pt_339:  9.44401204586029
========> pt_340:  4.992101490497589
===============================================> mean Dose score: 8.005768404155969
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.122049257532,     best is           0.122049257532
            Average val evaluation index is   -8.005768404156,     best is           -8.005768404156
    Train use time   1534.69208
    Train loader use time     72.14145
    Val use time     43.99397
    Total use time   1583.30035
    End lr is 0.000299277950, 0.000299277950
    time: 18:11:48
Epoch: 5, iter: 2499
    Begin lr is 0.000299277950, 0.000299277950
========> pt_241:  5.818280801177025
========> pt_242:  8.500627428293228
========> pt_243:  5.6818608939647675
========> pt_244:  8.107697144150734
========> pt_245:  6.8416233360767365
========> pt_246:  6.199829503893852
========> pt_247:  8.387732654809952
========> pt_248:  6.538601443171501
========> pt_249:  4.73745197057724
========> pt_250:  8.155405595898628
========> pt_251:  5.847081318497658
========> pt_252:  5.632640495896339
========> pt_253:  5.599107518792152
========> pt_254:  4.761692136526108
========> pt_255:  5.739477574825287
========> pt_256:  8.28079178929329
========> pt_257:  5.972521752119064
========> pt_258:  6.633974015712738
========> pt_259:  6.400385871529579
========> pt_260:  10.392113476991653
========> pt_261:  5.19540898501873
========> pt_262:  6.537535414099693
========> pt_263:  8.278987780213356
========> pt_264:  7.007295414805412
========> pt_265:  8.067722618579865
========> pt_266:  7.026094347238541
========> pt_267:  8.803969025611877
========> pt_268:  5.277592316269875
========> pt_269:  7.864829748868942
========> pt_270:  6.660759821534157
========> pt_271:  6.524786874651909
========> pt_272:  5.072323828935623
========> pt_273:  8.710023388266563
========> pt_274:  5.940595120191574
========> pt_275:  4.810500517487526
========> pt_276:  7.664909139275551
========> pt_277:  8.309119790792465
========> pt_278:  5.734895840287209
========> pt_279:  5.007906258106232
========> pt_280:  4.871690794825554
========> pt_281:  7.905607968568802
========> pt_282:  8.646408468484879
========> pt_283:  9.225839078426361
========> pt_284:  5.7076239585876465
========> pt_285:  6.993358284235001
========> pt_286:  8.555670827627182
========> pt_287:  5.389062762260437
========> pt_288:  8.014888986945152
========> pt_289:  5.428277924656868
========> pt_290:  4.651591256260872
========> pt_291:  8.476351797580719
========> pt_292:  5.846299007534981
========> pt_293:  7.958626225590706
========> pt_294:  7.8598761558532715
========> pt_295:  4.781496599316597
========> pt_296:  7.711725756525993
========> pt_297:  5.5403100699186325
========> pt_298:  5.915475636720657
========> pt_299:  7.83355139195919
========> pt_300:  5.441374331712723
========> pt_301:  4.442185387015343
========> pt_302:  6.212233826518059
========> pt_303:  7.265876308083534
========> pt_304:  8.389599248766899
========> pt_305:  5.659136846661568
========> pt_306:  8.279039412736893
========> pt_307:  8.26834000647068
========> pt_308:  6.316695809364319
========> pt_309:  7.439529523253441
========> pt_310:  4.898138642311096
========> pt_311:  8.090336620807648
========> pt_312:  8.352744057774544
========> pt_313:  7.855355441570282
========> pt_314:  8.934290558099747
========> pt_315:  8.41614879667759
========> pt_316:  4.973898679018021
========> pt_317:  4.924289733171463
========> pt_318:  6.440524160861969
========> pt_319:  7.972846552729607
========> pt_320:  7.768643572926521
========> pt_321:  4.608050957322121
========> pt_322:  8.377270549535751
========> pt_323:  8.365479037165642
========> pt_324:  8.495076671242714
========> pt_325:  6.226093769073486
========> pt_326:  8.951494097709656
========> pt_327:  7.940876632928848
========> pt_328:  8.139448538422585
========> pt_329:  6.753364577889442
========> pt_330:  9.865269809961319
========> pt_331:  6.423628330230713
========> pt_332:  8.075648993253708
========> pt_333:  7.556691020727158
========> pt_334:  7.56054624915123
========> pt_335:  6.212103441357613
========> pt_336:  5.140633657574654
========> pt_337:  8.69247354567051
========> pt_338:  8.357963636517525
========> pt_339:  8.260407894849777
========> pt_340:  4.200506582856178
===============================================> mean Dose score: 6.945821414142847
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.110805587143,     best is           0.110805587143
            Average val evaluation index is   -6.945821414143,     best is           -6.945821414143
    Train use time   1535.22913
    Train loader use time     72.65375
    Val use time     43.80463
    Total use time   1583.74945
    End lr is 0.000298960615, 0.000298960615
    time: 18:38:12
Epoch: 6, iter: 2999
    Begin lr is 0.000298960615, 0.000298960615
========> pt_241:  5.779922008514404
========> pt_242:  7.63360470533371
========> pt_243:  6.407011523842812
========> pt_244:  7.8440578281879425
========> pt_245:  6.716674715280533
========> pt_246:  6.157092377543449
========> pt_247:  7.924797534942627
========> pt_248:  6.731443181633949
========> pt_249:  5.683588758111
========> pt_250:  7.642711848020554
========> pt_251:  5.864571705460548
========> pt_252:  5.849372446537018
========> pt_253:  6.023903414607048
========> pt_254:  5.55465504527092
========> pt_255:  5.612946599721909
========> pt_256:  7.78255358338356
========> pt_257:  5.729642882943153
========> pt_258:  6.708381175994873
========> pt_259:  6.009244993329048
========> pt_260:  8.603823110461235
========> pt_261:  6.099161729216576
========> pt_262:  6.447915434837341
========> pt_263:  7.879311889410019
========> pt_264:  7.353446111083031
========> pt_265:  7.626844495534897
========> pt_266:  6.642513200640678
========> pt_267:  8.487426191568375
========> pt_268:  6.095627769827843
========> pt_269:  7.495046481490135
========> pt_270:  7.034635618329048
========> pt_271:  6.238214895129204
========> pt_272:  4.548956751823425
========> pt_273:  8.326014056801796
========> pt_274:  6.115411892533302
========> pt_275:  4.83417272567749
========> pt_276:  7.167103812098503
========> pt_277:  7.880510911345482
========> pt_278:  6.7269302904605865
========> pt_279:  5.98599836230278
========> pt_280:  5.699870735406876
========> pt_281:  7.595324665307999
========> pt_282:  8.068825677037239
========> pt_283:  8.502637445926666
========> pt_284:  5.34964993596077
========> pt_285:  6.872246116399765
========> pt_286:  8.028601855039597
========> pt_287:  6.446496844291687
========> pt_288:  7.605301737785339
========> pt_289:  6.374640539288521
========> pt_290:  5.159147307276726
========> pt_291:  7.7610113471746445
========> pt_292:  6.087577268481255
========> pt_293:  7.942952364683151
========> pt_294:  7.373725175857544
========> pt_295:  5.3234826773405075
========> pt_296:  7.357932925224304
========> pt_297:  6.603230759501457
========> pt_298:  5.93973770737648
========> pt_299:  7.39462748169899
========> pt_300:  5.857779160141945
========> pt_301:  5.03527045249939
========> pt_302:  7.0541829615831375
========> pt_303:  6.878010705113411
========> pt_304:  8.053409978747368
========> pt_305:  5.5924177169799805
========> pt_306:  7.908926010131836
========> pt_307:  7.851279601454735
========> pt_308:  6.623696014285088
========> pt_309:  6.883128583431244
========> pt_310:  5.316895619034767
========> pt_311:  7.650852054357529
========> pt_312:  7.977212369441986
========> pt_313:  7.587542235851288
========> pt_314:  8.595879524946213
========> pt_315:  7.946807071566582
========> pt_316:  6.2783583998680115
========> pt_317:  4.992728903889656
========> pt_318:  6.915473490953445
========> pt_319:  7.555240094661713
========> pt_320:  7.391757443547249
========> pt_321:  4.769793227314949
========> pt_322:  7.931443527340889
========> pt_323:  9.09777581691742
========> pt_324:  8.154124170541763
========> pt_325:  6.077190786600113
========> pt_326:  8.42872366309166
========> pt_327:  7.33347162604332
========> pt_328:  8.203917220234871
========> pt_329:  6.268667653203011
========> pt_330:  9.077417999505997
========> pt_331:  5.992521792650223
========> pt_332:  7.5606124848127365
========> pt_333:  7.377307638525963
========> pt_334:  7.1296608448028564
========> pt_335:  6.217378303408623
========> pt_336:  5.830967798829079
========> pt_337:  8.523508459329605
========> pt_338:  7.873809635639191
========> pt_339:  7.720235213637352
========> pt_340:  4.653127193450928
===============================================> mean Dose score: 6.889007660746574
        ==> Saving best_train_loss model successfully !
        ==> Saving best_val_evaluation_index model successfully !
        ==> Saving latest model successfully !
            Average train loss is             0.102225556239,     best is           0.102225556239
            Average val evaluation index is   -6.889007660747,     best is           -6.889007660747
    Train use time   1534.37623
    Train loader use time     71.97884
    Val use time     43.86214
    Total use time   1582.87294
    End lr is 0.000298585873, 0.000298585873
    time: 19:04:35
Epoch: 7, iter: 3499
    Begin lr is 0.000298585873, 0.000298585873
========> pt_241:  5.867775529623032
========> pt_242:  7.240507006645203
========> pt_243:  6.8964435160160065
========> pt_244:  7.547677755355835
========> pt_245:  6.9057561457157135
========> pt_246:  6.579124629497528
========> pt_247:  7.687373459339142
========> pt_248:  6.704706400632858
========> pt_249:  5.982075855135918
========> pt_250:  7.240176871418953
========> pt_251:  6.207221820950508
========> pt_252:  5.527893230319023
========> pt_253:  6.206240281462669
========> pt_254:  5.7805123925209045
========> pt_255:  5.823108181357384
========> pt_256:  7.316310852766037
========> pt_257:  6.060914546251297
========> pt_258:  6.446253284811974
========> pt_259:  6.430796906352043
